Time (s),Comp Pitch Angle
0.0025191307067871094,-0.23584106284656656
0.10516905784606934,-0.28650246186851075
0.2078688144683838,-0.23176456247426633
0.31055736541748047,-0.2554970398545965
0.41323041915893555,-0.24568881990780184
0.5160415172576904,-0.23773356598925469
0.618710994720459,-0.27167072176542967
0.721416711807251,-0.3130848106046413
0.8241875171661377,-0.2823897998391088
0.926933765411377,-0.25150402076356254
1.0296862125396729,-0.2746362430822846
1.132455825805664,-0.21930569992539867
1.2351768016815186,-0.2336824800605115
1.3381226062774658,-0.24509959953500954
1.4407975673675537,-0.26197044402503794
1.5434720516204834,-0.26200830766794203
1.6462271213531494,-0.22204335687344393
1.7490179538726807,-0.23921208630783108
1.8517515659332275,-0.29129572964988776
1.9545230865478516,-0.28574316373992414
2.057419776916504,-0.29351502403955787
2.1602838039398193,-0.24417568394935096
2.2630391120910645,-0.2828139972989235
2.3657193183898926,-0.29076652949334586
2.4683735370635986,-0.30034268249683016
2.5710864067077637,-0.280571023704687
2.675673007965088,-0.2761822799165534
2.7784388065338135,-0.26179652258013975
2.881124258041382,-0.25152533938763955
2.9838104248046875,-0.26555751367448194
3.086569309234619,-0.2668358334492048
3.1892337799072266,-0.2778815117794666
3.2919251918792725,-0.2676190851738641
3.394606113433838,-0.2896645151293441
3.4972524642944336,-0.2774662765628765
3.5999135971069336,-0.28771870095765767
3.702617645263672,-0.32660793951411893
3.8053884506225586,-0.3062247457669295
3.9081127643585205,-0.2982284678784013
4.0107643604278564,-0.29217425924244833
4.1133644580841064,-0.36573921470625476
4.215989112854004,-0.7482975522659672
4.318659782409668,1.4466469814357539
4.421283483505249,1.4011775816600436
4.5238847732543945,-0.7619428043739467
4.6265175342559814,2.3853185500480865
4.729140758514404,-1.745658025956967
4.831808090209961,3.8149468723087803
4.934515953063965,-0.9332351470262126
5.03728985786438,2.1499198793727783
5.140046119689941,1.8252141991636868
5.2427544593811035,-0.8949407693465985
5.345669507980347,2.9311976378593325
5.44832968711853,-0.9454846553609685
5.551069021224976,3.7678962674707392
5.653829336166382,-1.6788427415523848
5.756669521331787,3.850358766016516
5.8594114780426025,-0.8378236198710747
5.962130069732666,4.29193788322757
6.064882040023804,0.6032714553951348
6.167649030685425,2.032262639477599
6.270375967025757,2.8572639009538183
6.37312126159668,-0.918624033687834
6.4759299755096436,2.983605670830954
6.578663110733032,-1.2717105929396957
6.681386232376099,2.945479639781575
6.784219741821289,-1.3130685907115724
6.886932373046875,3.952164928744229
6.98969578742981,-1.677314490447769
7.092501163482666,4.278045474836929
7.195209980010986,-1.5883289403597094
7.297976016998291,4.5115656831462045
7.400729417800903,-1.5353973497183886
7.5034730434417725,4.7262708948961
7.606234312057495,-0.6562219054160033
7.712115049362183,4.187298934892706
7.818126440048218,-0.12103357113603497
7.924079179763794,2.3366609157139098
8.030074834823608,2.8902758422526404
8.136006593704224,0.6243065048981465
8.2418851852417,0.3564892456201487
8.34777021408081,0.6709795928103188
8.453669786453247,0.6270118431235137
8.559596538543701,0.6212920424136403
8.665595531463623,0.6428845315592251
8.770505905151367,0.5555116520193081
8.876537799835205,0.5839311997819552
8.982563495635986,0.621379198464927
9.08850622177124,0.5869031566164534
9.194566249847412,0.5787884691441361
9.300601482391357,0.5979650446738366
9.405895709991455,0.6056276886329285
9.51181411743164,0.5906228443929508
9.61772108078003,0.5934668228376876
9.72357988357544,0.6158932326030201
9.829561471939087,0.6481336476805996
9.935442209243774,0.6947241153288733
10.041297912597656,1.0193911536381188
10.147143125534058,2.966711743300152
10.253113746643066,5.558745598877955
10.35901951789856,8.457962591029972
10.464898586273193,10.781103345090798
10.570825576782227,14.693603933051975
10.67668890953064,14.35260015782762
10.782657861709595,18.13122325018898
10.88852834701538,21.666125477542305
10.99452543258667,25.28819273998272
11.100436210632324,29.614989135630452
11.206404209136963,34.172919559560235
11.312268733978271,38.50718632200048
11.41823959350586,41.98414707466876
11.524102687835693,44.7988784645678
11.630008220672607,47.56535275215821
11.735882997512817,50.47965677783044
11.841876745223999,52.00723887171655
11.947781801223755,52.52187744840309
12.053714036941528,53.79883062725388
12.159611940383911,55.093880450002246
12.265437841415405,55.471375202914
12.371283531188965,56.41322535576375
12.476866960525513,56.89848541949444
12.581593990325928,57.2212963788908
12.687722206115723,57.97217048738452
12.79334306716919,57.83844570031208
12.89872145652771,57.45733061445346
13.00465178489685,57.678648019190376
13.110587120056152,57.519511250611295
13.21649169921875,57.41076158461081
13.322445154190063,57.51046359382462
13.428394317626953,57.739736753374515
13.534358739852905,57.97392550218748
13.640260219573975,58.29291180997539
13.74620246887207,58.54292791657369
13.852182388305664,58.68044497746374
13.958175659179688,58.73098371897255
14.06407880783081,59.01159556133225
14.1699378490448,59.24617866612521
14.27589750289917,59.134399066009955
14.381756782531738,59.04188344424722
14.487587928771973,59.04073709549173
14.593477725982666,59.17885028869691
14.699368715286255,59.40605281326992
14.802132606506348,59.32041194901957
14.904816150665283,59.35010834551108
15.007496118545532,59.39480933308112
15.110236406326294,59.51098647027256
15.212986469268799,59.549685441553514
15.31572937965393,59.282582429804876
15.4185471534729,58.53854163824923
15.521269083023071,56.96951079256545
15.62403917312622,54.15193886710781
15.726765394210815,50.306141885678215
15.829555988311768,46.560536570226496
15.932295322418213,42.91700047028863
16.035051822662354,39.32176289714337
16.13780641555786,35.86671802023509
16.240564107894897,32.54472595476271
16.34332823753357,29.543476535935625
16.44610905647278,26.93642575367071
16.548854112625122,24.625857985791264
16.651593923568726,22.04880053048496
16.754380464553833,18.946210679986756
16.85714602470398,16.364359883862825
16.9598970413208,13.698362476528782
17.062660455703735,10.314996794019251
17.165446519851685,6.7804540618248215
17.26816201210022,6.207031837745948
17.37092089653015,4.009410139473204
17.473675966262817,1.824480163087969
17.57645606994629,0.636769894090198
17.679197549819946,0.7229326682878184
17.78200936317444,0.6294020160157555
17.884759187698364,0.6495547329034111
17.98752212524414,0.6473105143946852
18.09023880958557,0.6609216118444867
18.19300627708435,0.6328527186095667
18.295788288116455,0.6235635629354903
18.398528814315796,0.6329841033353739
18.501262426376343,0.6159134799801481
18.604036808013916,0.6029725390544773
18.70682716369629,0.622942895447084
18.80957579612732,0.6182374958406369
18.912336587905884,0.6392638541765889
19.015064239501953,0.6389103424021904
19.117842435836792,0.6219632707296533
19.220595121383667,0.6278133097374058
19.323387145996094,0.6047407975075256
19.42610764503479,0.5983008359260262
19.52884078025818,0.585725413766355
19.63162112236023,0.5936964100376074
19.73440647125244,0.6104064635797903
19.84035348892212,0.6202752876343307
19.946287393569946,0.6417133523458786
20.05219602584839,0.6215876197518811
20.15809202194214,0.6262654927866426
20.263938903808594,0.6183817219956503
20.36980938911438,0.638466024155329
20.475643634796143,0.6134737092730687
20.581596612930298,0.6351874800809956
20.6876540184021,0.5995164769487183
20.79427170753479,0.6091456165289578
20.900336980819702,0.6077166371280716
21.0064218044281,0.6210847122515573
21.112390279769897,0.5980896498392186
21.21844744682312,0.6196077313750539
21.324352741241455,0.622424045338069
21.430412769317627,0.6056430160527082
21.536373615264893,0.5961122657105975
21.642298221588135,-0.21817029030012158
21.74825358390808,3.160770628681977
21.854247331619263,-1.3866284871573278
21.960198163986206,3.6647792500454464
22.066134214401245,2.6718927435476134
22.172121047973633,-1.9048496098972896
22.278067111968994,5.057947765739245
22.384227752685547,-2.1046121172954932
22.490246057510376,4.281374791683631
22.596192598342896,1.5565500362717795
22.702089071273804,0.4368582930855738
22.808172702789307,4.229376523595696
22.914198875427246,-3.0336464362134996
23.020219802856445,3.5587216226915617
23.12617778778076,-3.1391555498547157
23.232340812683105,2.910308763889315
23.33823800086975,-0.3342116283587906
23.44416832923889,-2.5372055159805473
23.550092697143555,2.083560325978979
23.656005382537842,-3.8387001354799866
23.76094126701355,2.3807220961898725
23.86696434020996,-3.68198417424618
23.97289204597473,2.542523655175213
24.078773736953735,-1.983823560310245
24.184685230255127,-1.7036871477395417
24.290639638900757,-2.446025018201183
24.396539211273193,-2.356387172971579
24.502487421035767,-2.4181925494760663
24.60841679573059,-2.3716297161959536
24.71439266204834,-2.3969673313829407
24.820378065109253,-2.4197604386580815
24.926223278045654,-2.2676722998517183
25.032105684280396,-1.309269647350248
25.137993574142456,1.3520805681018437
25.243897199630737,-1.4684744931669353
25.349785089492798,-1.3685241089497229
25.455657482147217,-1.224976351396658
25.561597108840942,-1.2216604256554677
25.667628526687622,-1.2062450901325845
25.773558616638184,-1.2253181909976127
25.879566192626953,-1.240513097002027
25.985490322113037,-1.2652372705125083
26.09136128425598,-1.1665218722563717
26.19724726676941,-0.29975425061649896
26.303133010864258,4.381410188438437
26.409101009368896,8.110755208684706
26.5149507522583,13.201045413876923
26.62069296836853,18.93022690853342
26.725909948349,24.600453586944724
26.83187508583069,30.436868905409867
26.937764644622803,36.07915933231518
27.04370903968811,41.385014557838176
27.14857578277588,45.73073189197123
27.254509449005127,50.049499488195416
27.360381841659546,54.370794165338594
27.46716332435608,56.22772759567836
27.570101499557495,57.06716964262236
27.673018217086792,57.83624650044574
27.77595281600952,57.98165110825204
27.878909587860107,57.59146278981588
27.98170518875122,57.59057122265734
28.08461856842041,57.72418714521595
28.18753218650818,57.64520399653729
28.290349006652832,57.573346250917105
28.39314913749695,55.472041935790095
28.4959557056427,50.95847461456341
28.598767518997192,44.74405174813496
28.701483964920044,38.17702444672981
28.804375886917114,34.319053203839935
28.90728211402893,34.40460033165208
29.010223865509033,39.29041665553106
29.113073348999023,47.05216862912053
29.21590495109558,53.897172449437385
29.318719387054443,57.574427070778825
29.4215030670166,57.88615526251671
29.52420687675476,57.298740784868876
29.62728190422058,57.55905203322311
29.73015332221985,58.08532393681746
29.832878828048706,58.49775120258371
29.935539722442627,58.58933237514318
